Sexo,Edad,DS_00,DS_01,DS_02,DS_03,DS_04,DS_05,DS_06,DS_07,DS_08,DS_09,DS_10,DS_11,DS_12,DS_13,DS_14,DS_15,DS_16,DS_17,DS_18,DS_19,DS_20,DS_21,DS_22,DS_23,DS_24
M,0,2,328,1035,701,518,1230,1238,1133,169,1361,899,1025,661,612,730,498,636,763,688,1090,687,818,657,799,683
M,1,2,347,1193,818,576,1369,1426,1193,186,1473,1045,1117,678,565,737,493,670,779,818,1147,718,771,601,865,724
M,2,1,379,1178,812,643,1451,1396,1301,189,1558,1031,1205,669,619,752,552,704,873,765,1173,744,821,641,937,730
M,3,2,387,1191,876,650,1497,1494,1286,146,1577,1094,1105,749,624,844,593,704,867,828,1224,828,825,700,945,793
M,4,8,393,1232,915,619,1486,1560,1286,194,1586,1103,1139,668,593,768,538,688,902,851,1172,799,827,649,900,742
M,5,7,417,1295,908,760,1583,1635,1424,221,1600,1211,1218,815,696,870,621,736,986,839,1271,880,837,703,937,763
M,6,1,436,1328,897,738,1666,1716,1437,203,1659,1285,1309,847,716,842,571,748,979,881,1340,891,937,696,1013,786
M,7,0,414,1404,1004,793,1696,1819,1507,211,1717,1223,1327,835,690,859,657,741,1105,894,1402,879,941,700,1005,806
M,8,4,438,1427,972,793,1728,1821,1453,226,1747,1257,1345,884,767,910,660,773,1087,931,1440,932,951,718,1071,820
M,9,23,445,1525,1062,879,1825,1941,1555,237,1963,1340,1432,963,795,973,735,882,1216,1082,1494,967,1025,844,1156,897
M,10,22,424,1504,1056,774,1838,1905,1502,205,1923,1344,1438,982,764,987,673,924,1161,1016,1433,987,994,822,1159,806
M,11,24,462,1511,1079,740,1782,1864,1530,228,1874,1323,1399,888,757,944,742,826,1134,1014,1417,939,986,765,1116,821
M,12,26,450,1361,1025,723,1693,1799,1481,235,1817,1375,1320,910,794,1019,651,847,1168,930,1392,916,956,700,1144,841
M,13,26,412,1327,1008,787,1598,1770,1337,215,1771,1323,1323,920,756,965,664,843,1142,912,1441,853,937,780,1093,800
M,14,27,375,1419,984,728,1702,1801,1328,233,1798,1301,1255,914,804,985,679,825,1168,987,1303,835,894,772,1051,787
M,15,2,419,1375,919,671,1519,1601,1230,215,1692,1179,1206,881,750,945,651,748,1063,907,1350,832,928,712,985,711
M,16,0,366,1285,947,648,1594,1562,1251,235,1590,1220,1244,852,766,930,638,739,1036,952,1286,754,913,688,948,797
M,17,0,408,1298,927,695,1552,1654,1254,252,1681,1269,1256,901,732,972,667,754,1002,905,1283,756,853,703,989,744
M,18,1,403,1244,930,637,1521,1464,1287,201,1721,1260,1206,890,755,943,644,795,1052,929,1269,751,854,739,906,774
M,19,0,427,1244,872,594,1515,1406,1223,189,1646,1201,1201,825,757,897,629,748,985,857,1208,706,851,680,882,699
M,20,1,403,1236,860,627,1584,1462,1202,206,1645,1227,1153,830,711,925,669,773,925,920,1297,670,817,681,928,697
M,21,0,387,1236,828,574,1593,1402,1270,176,1586,1209,1202,839,662,903,599,796,1000,934,1301,755,844,675,889,817
M,22,0,355,1315,819,571,1605,1450,1227,171,1631,1262,1177,831,716,923,620,763,988,860,1325,725,835,711,894,765
M,23,0,347,1290,853,642,1713,1385,1230,189,1652,1199,1200,785,692,939,667,805,959,878,1323,769,833,705,910,778
M,24,0,402,1319,874,611,1716,1471,1353,195,1719,1274,1233,890,721,916,648,807,1034,919,1363,762,877,720,934,760
M,25,0,373,1302,924,658,1721,1511,1405,206,1838,1381,1253,858,727,952,693,877,1029,976,1421,786,934,742,1000,827
M,26,0,415,1306,921,715,1709,1491,1437,215,1829,1268,1306,848,705,971,659,897,1063,976,1434,774,942,797,1004,854
M,27,1,406,1413,923,667,1758,1528,1427,204,1828,1353,1307,866,767,1000,697,852,998,1015,1442,787,955,763,1033,882
M,28,0,477,1437,912,760,1863,1501,1489,221,1845,1348,1321,892,831,983,694,1006,1056,974,1498,858,904,813,994,922
M,29,1,476,1516,970,686,1796,1536,1448,232,1870,1422,1415,911,861,1025,709,961,1109,1005,1578,896,967,779,1065,991
M,30,0,451,1528,991,772,1839,1597,1521,232,1986,1517,1433,892,829,995,696,1104,1085,1052,1606,920,975,877,1018,973
M,31,2,470,1535,1092,811,1956,1690,1671,225,2098,1500,1455,943,860,1025,728,1108,1204,1021,1577,937,1030,902,1183,1012
M,32,0,479,1593,1072,843,2056,1699,1757,256,2178,1632,1534,1021,892,1081,743,1181,1214,1140,1747,964,963,923,1230,1035
M,33,1,515,1637,1175,883,2137,1914,1866,282,2286,1691,1612,1021,905,1089,781,1122,1272,1136,1783,1029,962,1002,1285,1060
M,34,0,494,1811,1198,919,2203,1882,1951,252,2268,1754,1626,1027,993,1115,797,1259,1296,1121,1866,1122,1109,938,1380,1133
M,35,0,594,1874,1320,977,2379,2065,2109,259,2469,1826,1766,1115,1053,1245,835,1333,1443,1246,2001,1160,1156,1021,1450,1118
M,36,0,599,1973,1353,1069,2422,2366,2125,298,2525,1960,1774,1234,1157,1329,884,1355,1480,1376,2105,1217,1163,1050,1481,1164
M,37,0,652,2169,1458,1137,2699,2440,2347,324,2652,2043,1934,1303,1220,1440,976,1400,1609,1345,2188,1366,1224,1164,1588,1285
M,38,0,646,2315,1593,1255,2742,2708,2388,319,2899,2066,2035,1314,1225,1498,958,1430,1654,1404,2317,1373,1272,1180,1794,1237
M,39,0,645,2378,1619,1261,2823,2808,2531,342,3001,2255,2186,1429,1182,1507,1017,1459,1779,1499,2303,1432,1347,1184,1794,1316
M,40,0,703,2364,1622,1275,2981,2860,2589,349,3069,2350,2053,1432,1340,1536,997,1483,1811,1539,2364,1534,1247,1210,1816,1288
M,41,0,648,2431,1602,1297,2927,2853,2643,356,3077,2341,2078,1370,1299,1577,1079,1533,1917,1504,2360,1458,1326,1213,1848,1311
M,42,1,652,2345,1659,1270,2877,2846,2518,360,3073,2307,2016,1432,1304,1545,1048,1399,1872,1506,2303,1416,1295,1197,1770,1238
M,43,0,648,2429,1621,1228,2917,2813,2583,341,3109,2393,2093,1487,1317,1619,1051,1481,1904,1526,2286,1502,1294,1184,1842,1263
M,44,0,654,2307,1495,1163,2824,2738,2347,348,2906,2302,2002,1442,1255,1469,1001,1429,1922,1513,2216,1384,1263,1187,1690,1236
M,45,0,652,2361,1425,1150,2737,2694,2342,323,2923,2269,1956,1375,1235,1413,1032,1408,1871,1380,2202,1366,1285,1179,1612,1168
M,46,0,643,2219,1424,1232,2746,2680,2294,319,2980,2214,1934,1401,1231,1502,1067,1367,1859,1435,2116,1323,1255,1216,1684,1203
M,47,0,663,2212,1457,1160,2724,2514,2237,352,2796,2182,2040,1320,1291,1533,1077,1303,1867,1407,2094,1321,1282,1133,1690,1218
M,48,1,673,2273,1503,1132,2695,2506,2193,336,2857,2228,1914,1326,1292,1593,1020,1393,1859,1457,2090,1188,1249,1213,1646,1192
M,49,1,689,2307,1423,1118,2608,2360,2212,372,2737,2261,1992,1426,1266,1555,1082,1392,1790,1438,2119,1233,1243,1156,1622,1089
M,50,0,647,2289,1434,1133,2739,2560,2227,380,2800,2273,2020,1426,1363,1509,1056,1386,1741,1413,2145,1287,1206,1247,1588,1118
M,51,1,635,2096,1342,1079,2673,2465,2117,353,2773,2212,1934,1314,1277,1525,1024,1369,1700,1432,2059,1181,1209,1204,1564,1104
M,52,1,626,2037,1289,1044,2567,2349,2061,379,2714,2227,2067,1357,1168,1490,1056,1346,1666,1433,2070,1198,1172,1096,1502,1059
M,53,0,605,2018,1381,1120,2650,2412,2048,367,2730,2271,1919,1376,1286,1539,1087,1365,1665,1508,2205,1309,1198,1180,1520,1056
M,54,0,612,1950,1313,1073,2532,2210,1927,368,2548,2199,1788,1304,1184,1449,1053,1344,1654,1413,1968,1115,1102,1173,1451,1040
M,55,0,576,1895,1274,1023,2490,2184,1958,331,2565,2052,1808,1268,1145,1456,1002,1244,1609,1380,1863,1064,1052,1111,1375,1066
M,56,0,553,1907,1209,1044,2420,2116,1881,358,2465,1939,1843,1259,1140,1463,992,1222,1562,1336,1818,1059,1006,1140,1349,1076
M,57,0,616,1890,1246,1053,2462,2047,1911,377,2597,2021,1815,1255,1145,1481,988,1206,1534,1413,1842,1017,1010,1061,1344,1046
M,58,0,566,1843,1181,1004,2475,2092,1832,349,2500,2075,1781,1233,1174,1322,996,1256,1457,1345,1843,975,970,1050,1433,1002
M,59,1,595,1736,1143,981,2345,1954,1855,283,2424,1914,1637,1118,1098,1312,1007,1187,1480,1343,1758,1025,957,1064,1430,1053
M,60,0,525,1701,1159,962,2409,1886,1794,309,2290,1943,1631,1062,1073,1275,951,1195,1432,1299,1825,987,895,1065,1333,994
M,61,1,496,1507,1013,948,2168,1842,1676,295,2143,1738,1488,1011,967,1191,827,1123,1405,1236,1549,944,719,1090,1238,887
M,62,0,487,1671,1005,924,2030,1743,1684,285,2147,1677,1495,986,1004,1142,884,1124,1298,1113,1611,913,792,1124,1169,925
M,63,0,516,1487,911,873,2028,1700,1602,274,1935,1700,1400,986,959,1089,782,1017,1236,1101,1450,825,785,1099,1101,840
M,64,0,470,1471,970,820,2097,1615,1617,274,2029,1692,1423,920,974,1114,825,952,1242,1114,1551,801,679,1158,1065,845
M,65,1,459,1544,969,813,2043,1589,1636,270,2105,1703,1375,980,972,1151,805,965,1234,1103,1529,808,850,1224,1070,874
M,66,0,457,1467,919,786,1927,1511,1502,306,1952,1573,1370,901,978,985,790,883,1188,1008,1407,834,741,1265,1026,811
M,67,1,439,1352,889,770,1870,1519,1467,271,1907,1642,1364,867,977,978,722,934,1161,1018,1314,819,716,1390,999,804
M,68,0,498,1412,908,859,1983,1511,1596,300,1972,1631,1338,864,1053,979,747,1011,1195,973,1425,829,691,1409,1065,761
M,69,0,482,1478,963,859,1996,1543,1602,264,1917,1731,1359,923,1066,1004,792,977,1260,985,1466,828,802,1503,1093,818
M,70,0,454,1320,814,838,1816,1458,1554,259,1860,1609,1236,877,1107,1037,735,928,1154,947,1264,765,819,1595,941,755
M,71,1,427,1286,795,748,1783,1271,1357,263,1675,1499,1142,879,1122,934,677,879,1148,861,1222,734,685,1529,896,623
M,72,0,399,1333,825,764,1750,1317,1449,251,1783,1525,1239,858,1044,1029,723,849,1138,941,1258,698,771,1405,921,657
M,73,0,387,1271,852,724,1624,1245,1356,269,1762,1539,1236,787,1031,985,653,874,1103,886,1201,720,686,1407,914,617
M,74,0,438,1210,826,743,1602,1217,1235,266,1645,1419,1168,828,1000,953,662,795,1039,797,1080,720,706,1327,871,579
M,75,0,358,1030,690,662,1422,1054,1085,262,1465,1286,1153,750,894,885,588,664,867,689,996,633,638,1160,771,505
M,76,0,347,978,628,598,1261,903,1033,229,1256,1079,1010,655,817,733,556,623,758,586,822,539,528,1043,634,446
M,77,0,416,1206,869,773,1649,1272,1359,273,1768,1570,1321,910,998,1033,733,735,1001,904,1172,632,739,1113,862,585
M,78,0,249,705,427,448,1030,766,857,145,1047,926,803,504,647,615,379,540,670,527,722,440,485,901,546,359
M,79,0,294,816,537,556,1200,925,970,179,1214,1091,988,646,696,666,482,588,785,623,807,544,597,896,631,438
M,80,1,343,975,700,567,1285,998,1061,216,1386,1137,1038,753,701,701,608,557,800,696,886,530,552,782,695,464
M,81,0,340,905,637,607,1171,916,968,240,1251,1098,943,691,598,789,540,586,748,619,813,493,516,686,682,430
M,82,0,319,943,585,574,1170,911,904,214,1224,1024,893,651,637,751,500,511,754,604,780,443,508,615,591,417
M,83,0,334,877,556,566,1113,835,949,210,1207,990,929,585,526,644,521,537,705,618,795,408,502,514,576,405
M,84,0,315,896,616,535,1109,841,881,216,1210,955,838,643,555,794,513,484,708,650,727,426,511,450,535,424
M,85,0,249,767,557,508,962,821,790,198,1028,898,765,565,450,578,416,464,654,559,658,362,409,443,505,332
M,86,0,242,677,437,483,849,732,694,190,1011,791,731,564,411,559,405,403,557,520,612,327,355,326,466,312
M,87,1,263,645,461,428,785,652,684,171,909,807,584,476,403,529,387,377,575,524,580,330,374,281,422,321
M,88,0,216,585,368,400,658,581,546,140,790,646,555,351,327,422,326,309,465,390,492,274,276,259,313,238
M,89,0,181,519,322,311,636,462,510,122,670,527,452,349,295,354,309,256,437,386,418,241,237,250,303,244
M,90,0,119,431,266,246,456,424,406,105,564,440,399,287,215,261,224,210,345,293,350,190,189,172,262,199
M,91,0,138,387,253,233,454,351,371,80,506,389,359,248,201,271,198,207,300,230,291,181,155,141,196,171
M,92,0,110,294,189,157,369,267,270,69,400,365,242,175,142,206,159,150,283,197,221,135,118,91,157,116
M,93,0,71,195,138,143,271,235,210,45,322,235,191,148,131,161,141,116,236,162,192,121,107,86,113,99
M,94,0,61,188,102,109,211,196,172,49,259,195,141,94,102,112,91,82,133,128,131,68,63,67,107,75
M,95,0,41,151,98,79,163,177,133,37,185,159,109,85,96,76,72,68,128,90,93,55,63,58,70,58
M,96,0,41,102,64,58,115,83,93,19,129,105,74,48,62,58,54,51,96,76,71,41,42,37,37,34
M,97,0,30,56,41,39,93,65,54,17,107,68,42,32,40,40,34,37,71,35,59,27,29,24,34,26
M,98,0,25,44,21,30,41,45,43,10,52,60,33,26,35,17,27,19,31,29,21,15,20,17,17,20
M,99,0,12,26,14,10,31,30,29,5,47,37,15,19,18,11,15,13,36,19,27,12,11,9,10,8
M,100,0,15,25,15,15,23,20,17,4,25,14,16,14,15,13,9,12,28,11,15,11,6,6,5,8
M,101,0,6,13,8,5,10,15,19,4,22,8,8,7,8,3,4,8,9,6,13,4,6,4,6,2
M,102,0,5,10,5,6,6,5,4,2,12,5,6,6,6,6,5,3,8,8,7,3,5,4,7,2
M,103,0,3,5,3,5,9,9,8,1,8,6,3,7,3,3,2,5,11,2,3,4,3,4,3,1
M,104,0,1,5,0,1,3,4,4,0,7,5,0,3,2,0,1,6,7,1,4,2,1,0,1,0
M,105,0,0,4,1,2,6,3,3,0,1,1,2,1,2,3,2,4,3,1,4,2,0,3,1,0
M,106,0,1,1,1,2,1,1,0,1,5,0,2,0,1,0,1,0,2,1,0,0,0,1,3,0
M,107,0,0,1,0,1,0,1,1,1,4,0,1,0,2,0,0,1,1,0,2,0,0,0,0,0
M,108,0,0,1,0,1,1,0,1,0,0,2,1,0,0,1,0,0,2,0,0,1,0,0,0,1
M,109,0,0,0,0,0,0,1,0,0,1,1,1,0,0,0,0,0,0,1,0,1,0,0,0,0
M,110,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0
M,111,0,0,2,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0
M,112,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
